chimera,chim.id,env,fts,emo,emo.fts,subj.01,subj.02,subj.03,subj.04,subj.05,subj.06,subj.07,subj.08,subj.09,subj.10,subj.11,subj.12,subj.13,subj.14,subj.15,subj.16,subj.17,subj.18,subj.19,subj.20,subj.21,subj.22,subj.23,subj.24,subj.25,subj.26,subj.27,subj.28,subj.29,subj.30,subj.31,subj.32,subj.33,subj.34,subj.35,subj.36,subj.37,subj.38,subj.39,subj.40,subj.41,subj.42,subj.43,subj.44,subj.45,subj.46,subj.47,subj.48,subj.49,subj.50,subj.51,subj.52,subj.53,subj.54,subj.55,subj.56,subj.57,subj.58,subj.59,subj.60,subj.61,subj.62,subj.63,subj.64
01S,1,0,0,s,s,s,s,h,h,s,h,h,h,h,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,h,h,s,h,h,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,h,s,h,s,h
01Senv03Hftsnb2,1,3,2,s,h,h,h,h,h,s,h,h,s,s,h,h,s,h,h,s,h,s,h,h,h,h,h,s,h,s,h,s,h,h,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h
01Senv03Hftsnb4,1,3,4,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
01Senv03Hftsnb8,1,3,8,s,h,h,h,s,h,s,h,h,h,s,h,h,h,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h
01Senv03Hftsnb16,1,3,16,s,h,h,s,s,h,s,h,h,s,h,h,h,h,h,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
01Senv03Hftsnb32,1,3,32,s,h,h,h,s,h,s,h,h,s,s,s,h,h,s,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,h,h,s,s,s,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,h,s,h,h,s,h,s,h,h,h,h,h
01Senv03Hftsnb64,1,3,64,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,h,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h
02S,2,0,0,s,s,s,s,h,s,s,s,h,h,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s
02Senv11Hftsnb2,2,11,2,s,h,h,s,h,h,s,s,h,s,s,h,h,h,h,h,s,h,s,s,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h
02Senv11Hftsnb4,2,11,4,s,h,h,h,s,h,h,h,h,h,h,h,h,s,s,h,s,h,h,h,h,s,h,h,s,s,h,h,h,h,s,s,s,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,s,h,h,h
02Senv11Hftsnb8,2,11,8,s,h,h,h,s,h,h,s,h,h,h,h,h,s,s,s,s,h,h,s,h,s,h,h,s,h,s,h,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,s,h,s,h,h,h
02Senv11Hftsnb16,2,11,16,s,h,h,h,s,s,s,s,h,s,s,h,h,s,s,h,s,h,h,s,h,h,h,h,s,h,s,s,s,h,h,h,s,h,s,s,s,h,s,h,h,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,s,h,h,h,s,s,h,h
02Senv11Hftsnb32,2,11,32,s,h,s,h,s,h,s,s,h,h,s,s,s,s,s,s,s,h,h,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,h,h,h,h,s,h,h,h,h,h,s,h,h,s,h,h,s,h,s,h,s,h,s,h,h,h
02Senv11Hftsnb64,2,11,64,s,h,s,s,s,s,s,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,h,h,s,s,s,h,h,s,s,s,s,h,s,h,s,s,s,h,s,s,s,s,s
03H,3,0,0,h,h,h,h,s,h,s,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h
03Henv01Sftsnb2,3,1,2,h,s,s,s,s,h,s,h,h,s,s,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,h,h,h,h,h,s,h,h,s,s,h,h,s,s,h,s,h,s,s,s,s,h,s,s,s,h
03Henv01Sftsnb4,3,1,4,h,s,h,s,h,h,s,h,s,h,s,s,h,h,h,h,s,h,h,s,h,s,h,s,s,s,h,h,h,s,s,h,h,h,s,h,s,s,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,s,h,h,h
03Henv01Sftsnb8,3,1,8,h,s,s,h,h,s,s,h,s,h,s,s,h,s,s,s,s,s,h,s,s,s,h,s,s,h,s,h,h,s,s,h,h,s,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,s,h,s,h,s,h
03Henv01Sftsnb16,3,1,16,h,s,h,h,h,h,s,h,h,s,s,h,h,h,s,h,s,h,h,h,h,h,h,h,s,h,h,h,s,s,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h
03Henv01Sftsnb32,3,1,32,h,s,h,s,h,h,s,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
03Henv01Sftsnb64,3,1,64,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
04S,4,0,0,s,s,h,h,h,s,s,h,h,h,h,h,s,h,h,h,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,h,h,s,s,s,s,s,s,h,h,s,h,h,h,h,s,h,h,s,s,h,h,s,s,s,h,h,h,h,s,h,s,h,s,h
04Senv26Hftsnb2,4,26,2,s,h,h,s,h,h,s,h,h,s,s,h,h,h,s,h,s,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h
04Senv26Hftsnb4,4,26,4,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h
04Senv26Hftsnb8,4,26,8,s,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,s,h,s,h,h,h,s,h
04Senv26Hftsnb16,4,26,16,s,h,h,h,h,h,s,s,h,h,s,h,h,h,s,h,h,h,h,s,h,h,h,h,s,h,s,h,h,s,h,h,h,s,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,s,h,s,h,h,h,s,h
04Senv26Hftsnb32,4,26,32,s,h,h,s,h,h,s,s,h,s,s,h,h,h,s,s,s,s,h,s,s,h,h,s,s,h,h,h,h,s,h,s,h,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,h
04Senv26Hftsnb64,4,26,64,s,h,s,s,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s
05S,5,0,0,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
05Senv17Hftsnb2,5,17,2,s,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,s,h,h,h,h,s,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
05Senv17Hftsnb4,5,17,4,s,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h
05Senv17Hftsnb8,5,17,8,s,h,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
05Senv17Hftsnb16,5,17,16,s,h,h,h,h,h,s,h,h,s,h,s,h,h,h,h,h,h,h,s,h,s,h,h,s,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h
05Senv17Hftsnb32,5,17,32,s,h,h,h,s,s,s,h,h,s,h,s,s,h,s,h,s,h,h,s,s,s,h,h,s,s,s,s,s,h,s,h,h,s,s,h,h,h,s,h,h,s,h,h,s,h,s,h,h,s,h,h,h,h,h,h,h,h,s,h,s,h,s,h,s,h
05Senv17Hftsnb64,5,17,64,s,h,s,s,s,h,s,h,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,h,h,h,s,s,h,s,s,s,s
06H,6,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
06Henv23Sftsnb2,6,23,2,h,s,h,s,s,s,h,h,s,s,s,h,s,h,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,h,s,s,h,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s
06Henv23Sftsnb4,6,23,4,h,s,s,s,s,s,s,s,s,h,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,h,s,s,s,s,h,s,s,h,s,s,s,s,s,s,h,h,s,h,s,s,s,s,s,s,h,s,s,s,s,h,h,h,s,s,s
06Henv23Sftsnb8,6,23,8,h,s,s,s,s,s,s,h,s,s,s,s,s,h,s,h,s,s,s,h,s,s,s,s,s,h,s,s,s,s,h,s,s,s,s,h,s,h,h,s,s,h,s,s,h,h,s,s,h,h,s,s,s,s,s,s,s,s,h,s,s,s,h,s,h,s
06Henv23Sftsnb16,6,23,16,h,s,s,s,s,s,s,s,s,h,h,s,s,h,s,h,s,h,h,h,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,h,s,h,h,s,s,h,s,s,s,h,h,s,h,s,s,h,s,h,h,s,h,s,h,h,s,s,h,s,s,h
06Henv23Sftsnb32,6,23,32,h,s,s,s,s,s,s,s,h,s,s,h,s,h,h,h,s,h,s,h,s,h,s,h,s,s,s,h,s,s,h,s,s,s,h,s,s,h,h,s,s,h,h,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h
06Henv23Sftsnb64,6,23,64,h,s,s,s,s,s,s,h,h,h,s,h,s,h,h,s,s,h,s,h,s,h,h,s,s,s,s,s,s,s,h,h,h,h,h,s,s,h,h,h,s,h,h,h,h,h,s,s,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,s
07H,7,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
07Henv30Sftsnb2,7,30,2,h,s,h,h,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,h,s,s,s,s,s,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s
07Henv30Sftsnb4,7,30,4,h,s,s,h,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s
07Henv30Sftsnb8,7,30,8,h,s,s,h,s,h,s,h,s,h,h,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,h,h,s,s,h,s,s,s,s,h,s,h,h,s,s,s,s,h,h,s,s,s,h,h,h,h,s,s,s
07Henv30Sftsnb16,7,30,16,h,s,s,h,s,h,h,h,s,h,h,h,s,s,h,h,s,s,s,s,s,h,s,s,s,s,s,h,h,s,h,h,s,h,s,s,s,h,h,s,s,s,s,h,s,s,h,s,h,h,h,h,s,s,h,h,s,h,s,s,h,h,h,s,s,s
07Henv30Sftsnb32,7,30,32,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
07Henv30Sftsnb64,7,30,64,h,s,h,h,h,h,s,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
08S,8,0,0,s,s,s,h,s,s,h,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s
08Senv15Hftsnb2,8,15,2,s,h,s,h,h,h,s,h,h,s,s,h,h,s,s,s,s,s,s,s,h,h,s,s,s,h,h,s,h,s,s,h,s,h,s,s,s,s,h,h,s,s,h,h,s,s,h,h,h,h,h,h,h,h,s,h,h,s,s,s,s,h,s,h,h,h
08Senv15Hftsnb4,8,15,4,s,h,s,h,s,s,s,h,h,s,s,s,s,s,s,s,s,h,s,s,s,h,s,s,s,h,h,h,s,s,s,h,s,s,s,s,s,s,h,h,s,h,h,h,s,s,s,h,h,s,h,h,h,s,s,h,h,s,s,h,s,s,s,h,s,h
08Senv15Hftsnb8,8,15,8,s,h,s,h,s,h,s,h,h,s,s,s,h,s,s,s,s,s,h,h,h,h,h,s,s,s,h,h,h,s,h,s,s,s,s,h,h,h,s,h,h,h,h,h,s,h,h,h,h,s,h,h,h,s,s,h,h,h,h,h,h,h,s,h,h,h
08Senv15Hftsnb16,8,15,16,s,h,s,h,h,s,s,h,h,h,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,s,h,h,s,s,h,s,s,s,s,h,h,s,h,s,s,s,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,s,h,s,h,s,h,s,h
08Senv15Hftsnb32,8,15,32,s,h,h,h,s,h,s,h,s,s,h,s,s,s,h,s,s,h,h,s,s,s,s,s,s,s,s,h,h,s,h,h,s,s,s,h,h,h,s,s,h,s,h,h,s,h,h,s,h,s,h,s,s,s,s,s,s,s,s,s,s,h,s,h,s,h
08Senv15Hftsnb64,8,15,64,s,h,s,s,s,h,s,s,h,s,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,h,s,h,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,h,h,h,s,s,s,h,s
09S,9,0,0,s,s,h,h,h,h,s,h,h,s,h,h,h,s,s,h,h,h,s,h,s,s,s,s,s,s,h,s,s,h,s,s,s,s,s,h,s,h,h,s,s,s,s,s,s,s,h,s,h,s,s,h,s,s,s,s,s,s,s,s,h,s,h,s,h,s
09Senv21Hftsnb2,9,21,2,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
09Senv21Hftsnb4,9,21,4,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
09Senv21Hftsnb8,9,21,8,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
09Senv21Hftsnb16,9,21,16,s,h,h,s,s,s,s,h,h,h,s,h,h,h,s,h,s,h,h,h,s,h,h,h,s,h,h,h,s,s,h,h,h,h,s,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,s,h,h,s,h,h
09Senv21Hftsnb32,9,21,32,s,h,s,s,s,h,s,s,h,s,s,h,s,h,h,s,s,h,s,h,s,h,h,s,s,h,h,h,s,s,h,s,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
09Senv21Hftsnb64,9,21,64,s,h,s,s,s,h,s,h,s,s,s,h,s,h,s,h,s,s,s,s,s,s,h,s,s,s,h,h,s,s,h,h,h,s,h,s,h,h,s,s,h,s,s,h,h,s,s,s,h,h,s,h,h,h,s,h,h,s,s,h,h,h,h,h,h,s
10S,10,0,0,s,s,h,s,s,s,s,s,s,h,s,s,h,h,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,s,s,h,s,h,h,s,s,s,s,s,s,s,s,s
10Senv31Hftsnb2,10,31,2,s,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
10Senv31Hftsnb4,10,31,4,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
10Senv31Hftsnb8,10,31,8,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
10Senv31Hftsnb16,10,31,16,s,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h
10Senv31Hftsnb32,10,31,32,s,h,h,h,s,s,h,h,s,s,s,h,s,h,s,s,s,s,h,s,h,h,h,h,s,s,h,s,s,h,h,s,s,h,h,s,h,h,h,h,h,s,h,s,s,h,s,s,h,s,h,h,h,s,s,h,s,s,s,s,s,h,s,h,s,s
10Senv31Hftsnb64,10,31,64,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,s,h,s,h,h,s,h,h,s,s,s,s,s,h,s,h,s,s,h,s,h,s,h,s,s,s,h,s,s,s,s
11H,11,0,0,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
11Henv02Sftsnb2,11,2,2,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s
